tweet_id	notserious_unclear	focus	type	category	category2	main_category	about_suicide	set	ambiguous
931365452210679808	0	1	4	awareness	awareness	awareness	1	basefrequency	1 joke, awareness
894616251527561216	0	1	4	awareness	suicidality3	awareness	1	basefrequency	news_suicidality, suicidality3
1020543272979230720	0	1	4	awareness	prevention	awareness	1	intial_training_set_coded_on_CH	prevention
974843993308745728	0	1	4	awareness	prevention	awareness	1	intial_training_set_coded_on_CH	prevention
518635756886056960	0	1	4	awareness	prevention	awareness	1	reliability_testing_set1	prevention
1129126123542073344	0	1	4	awareness	prevention	awareness	1	intial_training_set_coded_on_CH	prevention
1062846406514356224	0	1	4	awareness	prevention	awareness	1	intial_training_set_coded_on_CH	prevention
993271912800423936	0	1	4	awareness	prevention	awareness	1	intial_training_set_coded_on_CH	prevention
593670805386502144	0	1	4	awareness	prevention	awareness	1	intial_training_set_coded_on_CH	prevention
1005473904339582976	0	1	4	awareness	prevention	awareness	1	reliability_testing_set1	prevention
1209660730926141440	0	1	4	awareness	prevention	awareness	1	reliability_testing_set1	prevention
1250802725937270784	0	1	4	awareness	prevention	awareness	1	reliability_testing_set1	prevention
1005905688873164800	0	1	4	awareness	prevention	awareness	1	intial_training_set_coded_on_CH	prevention
22092066913779712	0	1	4	awareness	prevention	awareness	1	intial_training_set_coded_on_CH	prevention
845289200991813632	0	1	4	awareness	prevention	awareness	1	reliability_testing_set1	prevention
499272863548198912	0	1	4	awareness	prevention	awareness	1	basefrequency	prevention
593058157838147584	0	1	4	awareness	prevention	awareness	1	basefrequency	prevention
813822769745924096	0	1	4	awareness	suicide_other	awareness	1	reliability_testing_set1	suicide_other
614523600670822400	0	1	4	awareness	suicide_other	awareness	1	reliability_testing_set1	suicide_other
980251710865240064	0	1	4	awareness	suicide_other	awareness	1	reliability_testing_set1	suicide_other
422454056180002816	0	1	4	awareness	suicide_other	awareness	1	intial_training_set_coded_on_CH	suicide_other
363846501853704192	0	1	4	awareness	suicide_other	awareness	1	basefrequency	suicide_other
1215496506792448000	0	1	4	awareness	suicide_other	awareness	1	basefrequency	suicide_other
1131226993742241792	0	1	4	awareness	werther	awareness	1	basefrequency	werther
812285548765310976	0	1	4	awareness	werther	awareness	1	basefrequency	werther
1004683046493319168	0	1	4	awareness	NA	awareness	1	intial_training_set_coded_on_CH	
1006138384631205888	0	1	4	awareness	NA	awareness	1	reliability_testing_set1	
736988380899090432	0	1	4	awareness	NA	awareness	1	intial_training_set_coded_on_CH	
859858616395988992	0	1	4	awareness	NA	awareness	1	reliability_testing_set2	
560554881090846720	0	1	4	awareness	NA	awareness	1	intial_training_set_coded_on_CH	
1216270484175650816	0	1	4	awareness	NA	awareness	1	intial_training_set_coded_on_CH	
702536042067447808	0	1	4	awareness	NA	awareness	1	reliability_testing_set1	
1056603729045143552	0	1	4	awareness	NA	awareness	1	reliability_testing_set1	
507955179090903040	0	1	4	awareness	NA	awareness	1	reliability_testing_set1	
27417535146102784	0	1	4	awareness	NA	awareness	1	intial_training_set_coded_on_CH	
320878565698707456	0	1	4	awareness	NA	awareness	1	reliability_testing_set2	
1198030566043639808	0	1	4	awareness	NA	awareness	1	reliability_testing_set1	
294308629492936704	0	1	4	awareness	NA	awareness	1	intial_training_set_coded_on_CH	
537419431140274176	0	1	4	awareness	NA	awareness	1	intial_training_set_coded_on_CH	
976304933094871040	0	1	4	awareness	NA	awareness	1	intial_training_set_coded_on_CH	
932745095627132928	0	1	4	awareness	NA	awareness	1	intial_training_set_coded_on_CH	
1165989802996637696	0	1	4	awareness	NA	awareness	1	reliability_testing_set1	
343409229819965440	0	1	4	awareness	NA	awareness	1	intial_training_set_coded_on_CH	
932260658690904064	0	1	4	awareness	NA	awareness	1	intial_training_set_coded_on_CH	
675301542279454720	0	1	4	awareness	NA	awareness	1	reliability_testing_set1	
879795311585185792	0	1	4	awareness	NA	awareness	1	intial_training_set_coded_on_CH	
954310549797593088	0	1	4	awareness	NA	awareness	1	intial_training_set_coded_on_CH	
1039537676301611008	0	1	4	awareness	NA	awareness	1	intial_training_set_coded_on_CH	
1057767906820407296	0	1	4	awareness	NA	awareness	1	intial_training_set_coded_on_CH	
534594128831868928	0	1	4	awareness	NA	awareness	1	reliability_testing_set1	
931782913376399360	0	1	4	awareness	NA	awareness	1	intial_training_set_coded_on_CH	
1114484267382378496	0	1	4	awareness	NA	awareness	1	reliability_testing_set2	
331036874862915584	0	1	4	awareness	NA	awareness	1	reliability_testing_set2	
960276778551054336	0	1	4	awareness	NA	awareness	1	reliability_testing_set2	
602915751872233472	0	1	4	awareness	NA	awareness	1	reliability_testing_set1	
112100918794792960	0	1	4	awareness	NA	awareness	1	intial_training_set_coded_on_CH	
543930390357213184	0	1	4	awareness	NA	awareness	1	reliability_testing_set2	
637201495780257792	0	1	4	awareness	NA	awareness	1	intial_training_set_coded_on_CH	
869221345627971584	0	1	4	awareness	NA	awareness	1	reliability_testing_set1	
751956484611641344	0	1	4	awareness	NA	awareness	1	reliability_testing_set1	
